Quarter Ending ,HSCTrust,Specialty,Programme of Care,0 - 6 weeks,> 6 - 13 weeks,> 13 - 21 weeks,> 21 - 26 weeks,> 26 weeks,>26-52 weeks,>52 weeks,> 26-30 weeks,> 30 weeks,>30-36 weeks,> 26 - 36 weeks,> 36 weeks,Total,,
31-Mar-2010,South Eastern,Paediatrics,Acute Services,1,0,0,0,0,,,--,--,--,--,--,1,,
31-Mar-2010,South Eastern,Gynaecology,Acute Services,282,177,0,0,0,,,--,--,--,--,--,459,,
31-Mar-2010,South Eastern,GP Other,Acute Services,34,0,0,0,0,,,--,--,--,--,--,34,,
31-Mar-2010,South Eastern,Clinical Oncology,Acute Services,7,0,0,0,0,,,--,--,--,--,--,7,,
31-Mar-2010,South Eastern,Geriatric Medicine,Elderly Care,34,1,0,0,0,,,--,--,--,--,--,35,,
31-Mar-2010,Southern,General Surgery,Acute Services,840,854,55,0,0,,,--,--,--,--,--,"1,749",,
31-Mar-2010,Southern,Urology,Acute Services,209,140,75,0,0,,,--,--,--,--,--,424,,
31-Mar-2010,Southern,T & O Surgery,Acute Services,110,118,35,1,0,,,--,--,--,--,--,264,,
31-Mar-2010,Southern,ENT,Acute Services,241,213,0,0,0,,,--,--,--,--,--,454,,
31-Mar-2010,Southern,Ophthalmology,Acute Services,91,79,0,0,0,,,--,--,--,--,--,170,,
31-Mar-2010,Southern,Oral Surgery,Acute Services,13,8,0,0,0,,,--,--,--,--,--,21,,
31-Mar-2010,Southern,Pain Management,Acute Services,63,22,0,0,0,,,--,--,--,--,--,85,,
31-Mar-2010,Southern,General Medicine,Acute Services,45,27,2,0,0,,,--,--,--,--,--,74,,
31-Mar-2010,Southern,Gastroenterology,Acute Services,216,197,35,0,0,,,--,--,--,--,--,448,,
31-Mar-2010,Southern,Haematology (Clinical),Acute Services,20,0,0,0,0,,,--,--,--,--,--,20,,
31-Mar-2010,Southern,Cardiology,Acute Services,281,155,0,0,0,,,--,--,--,--,--,436,,
31-Mar-2010,Southern,Dermatology,Acute Services,56,36,0,0,0,,,--,--,--,--,--,92,,
31-Mar-2010,Southern,Thoracic Medicine,Acute Services,40,1,0,0,0,,,--,--,--,--,--,41,,
31-Mar-2010,Southern,Rheumatology,Acute Services,268,203,0,0,0,,,--,--,--,--,--,471,,
31-Mar-2010,Southern,Paediatrics,Acute Services,2,0,0,0,0,,,--,--,--,--,--,2,,
31-Mar-2010,Southern,Gynaecology,Acute Services,226,206,0,0,0,,,--,--,--,--,--,432,,
31-Mar-2010,Southern,GP Other,Acute Services,89,15,0,0,0,,,--,--,--,--,--,104,,
31-Mar-2010,Southern,Clinical Oncology,Acute Services,4,0,0,0,0,,,--,--,--,--,--,4,,
31-Mar-2010,Western,General Surgery,Acute Services,857,553,90,24,0,,,--,--,--,--,--,"1,524",,
31-Mar-2010,Western,Urology,Acute Services,274,77,18,12,0,,,--,--,--,--,--,381,,
31-Mar-2010,Western,T & O Surgery,Acute Services,323,233,333,251,0,,,--,--,--,--,--,"1,140",,
31-Mar-2010,Western,ENT,Acute Services,226,223,13,8,0,,,--,--,--,--,--,470,,
31-Mar-2010,Western,Ophthalmology,Acute Services,333,158,0,0,0,,,--,--,--,--,--,491,,
31-Mar-2010,Western,Oral Surgery,Acute Services,295,62,0,0,0,,,--,--,--,--,--,357,,
31-Mar-2010,Western,Pain Management,Acute Services,72,29,0,0,0,,,--,--,--,--,--,101,,
31-Mar-2010,Western,General Medicine,Acute Services,732,510,0,0,0,,,--,--,--,--,--,"1,242",,
31-Mar-2010,Western,Cardiology,Acute Services,64,60,0,0,0,,,--,--,--,--,--,124,,
31-Mar-2010,Western,Paediatrics,Acute Services,4,10,0,0,0,,,--,--,--,--,--,14,,
31-Mar-2010,Western,Gynaecology,Acute Services,355,224,38,0,0,,,--,--,--,--,--,617,,
31-Mar-2010,Western,GP Other,Acute Services,65,3,0,0,0,,,--,--,--,--,--,68,,
30-Jun-2010,Belfast,General Surgery,Acute Services,962,692,163,38,--,,,--,--,--,22,0,"1,877",,
30-Jun-2010,Belfast,Urology,Acute Services,706,530,434,133,--,,,--,--,--,55,16,"1,874",,
30-Jun-2010,Belfast,T & O Surgery,Acute Services,"1,026",956,805,198,--,,,--,--,--,87,18,"3,090",,
30-Jun-2010,Belfast,ENT,Acute Services,487,511,135,14,--,,,--,--,--,0,0,"1,147",,
30-Jun-2010,Belfast,Ophthalmology,Acute Services,822,"1,002",458,22,--,,,--,--,--,2,2,"2,308",,
30-Jun-2010,Belfast,Oral Surgery,Acute Services,58,65,71,7,--,,,--,--,--,3,0,204,,
30-Jun-2010,Belfast,Paediatric Dentistry,Acute Services,38,12,10,1,--,,,--,--,--,1,0,62,,
30-Jun-2010,Belfast,Neurosurgery,Acute Services,88,60,30,18,--,,,--,--,--,4,4,204,,
30-Jun-2010,Belfast,Plastic Surgery,Acute Services,173,124,78,42,--,,,--,--,--,11,1,429,,
30-Jun-2010,Belfast,Cardiac Surgery,Acute Services,130,100,84,13,--,,,--,--,--,4,1,332,,
30-Jun-2010,Belfast,Paediatric Surgery,Acute Services,141,76,33,2,--,,,--,--,--,0,0,252,,
30-Jun-2010,Belfast,Thoracic Surgery,Acute Services,40,25,14,4,--,,,--,--,--,0,0,83,,
30-Jun-2010,Belfast,Pain Management,Acute Services,155,214,224,68,--,,,--,--,--,18,0,679,,
30-Jun-2010,Belfast,General Medicine,Acute Services,417,349,195,2,--,,,--,--,--,0,0,963,,
30-Jun-2010,Belfast,Gastroenterology,Acute Services,594,371,24,0,--,,,--,--,--,1,0,990,,
30-Jun-2010,Belfast,Endocrinology,Acute Services,20,0,0,0,--,,,--,--,--,0,0,20,,
30-Jun-2010,Belfast,Cardiology,Acute Services,296,197,87,10,--,,,--,--,--,6,1,597,,
30-Jun-2010,Belfast,Dermatology,Acute Services,23,6,0,0,--,,,--,--,--,0,0,29,,
30-Jun-2010,Belfast,Thoracic Medicine,Acute Services,3,0,0,0,--,,,--,--,--,0,0,3,,
30-Jun-2010,Belfast,Nephrology,Acute Services,35,16,2,1,--,,,--,--,--,0,1,55,,
30-Jun-2010,Belfast,Neurology,Acute Services,57,36,47,22,--,,,--,--,--,7,0,169,,
30-Jun-2010,Belfast,Rheumatology,Acute Services,0,1,4,0,--,,,--,--,--,0,0,5,,
30-Jun-2010,Belfast,Gynaecology,Acute Services,327,251,160,42,--,,,--,--,--,15,1,796,,
30-Jun-2010,Belfast,GP Other,Acute Services,8,0,0,0,--,,,--,--,--,0,0,8,,
30-Jun-2010,Belfast,Radiology,Acute Services,21,5,10,3,--,,,--,--,--,0,0,39,,
30-Jun-2010,Belfast,Mental Illness,Mental Health,1,0,0,0,--,,,--,--,--,0,0,1,,
30-Jun-2010,Belfast,Child & Adolescent Psychiatry,Mental Health,6,0,0,0,--,,,--,--,--,0,0,6,,
30-Jun-2010,Northern,General Surgery,Acute Services,952,663,454,102,--,,,--,--,--,37,1,"2,209",,
30-Jun-2010,Northern,Urology,Acute Services,270,182,85,25,--,,,--,--,--,7,3,572,,
30-Jun-2010,Northern,ENT,Acute Services,241,197,49,7,--,,,--,--,--,0,0,494,,
30-Jun-2010,Northern,Oral Surgery,Acute Services,10,8,1,0,--,,,--,--,--,0,0,19,,
30-Jun-2010,Northern,Pain Management,Acute Services,64,40,65,3,--,,,--,--,--,0,0,172,,
30-Jun-2010,Northern,General Medicine,Acute Services,172,107,107,37,--,,,--,--,--,28,0,451,,
30-Jun-2010,Northern,Gastroenterology,Acute Services,619,414,287,56,--,,,--,--,--,3,0,"1,379",,
30-Jun-2010,Northern,Cardiology,Acute Services,42,13,0,0,--,,,--,--,--,0,0,55,,
30-Jun-2010,Northern,Dermatology,Acute Services,25,17,3,1,--,,,--,--,--,0,0,46,,
30-Jun-2010,Northern,Rheumatology,Acute Services,2,0,0,0,--,,,--,--,--,0,0,2,,
30-Jun-2010,Northern,Gynaecology,Acute Services,291,324,167,11,--,,,--,--,--,1,0,794,,
30-Jun-2010,Northern,GP Other,Acute Services,110,31,0,0,--,,,--,--,--,0,0,141,,
30-Jun-2010,South Eastern,General Surgery,Acute Services,684,215,74,14,--,,,--,--,--,1,0,988,,
30-Jun-2010,South Eastern,Urology,Acute Services,169,24,6,0,--,,,--,--,--,0,0,199,,
30-Jun-2010,South Eastern,T & O Surgery,Acute Services,17,7,0,0,--,,,--,--,--,0,0,24,,
30-Jun-2010,South Eastern,ENT,Acute Services,118,59,2,0,--,,,--,--,--,0,0,179,,
30-Jun-2010,South Eastern,Ophthalmology,Acute Services,138,82,0,0,--,,,--,--,--,0,0,220,,
30-Jun-2010,South Eastern,Oral Surgery,Acute Services,35,20,6,0,--,,,--,--,--,0,0,61,,
30-Jun-2010,South Eastern,Plastic Surgery,Acute Services,250,154,447,63,--,,,--,--,--,117,48,"1,079",,
30-Jun-2010,South Eastern,Paediatric Surgery,Acute Services,51,37,0,0,--,,,--,--,--,0,0,88,,
30-Jun-2010,South Eastern,Pain Management,Acute Services,40,18,0,0,--,,,--,--,--,0,0,58,,
30-Jun-2010,South Eastern,General Medicine,Acute Services,395,261,87,3,--,,,--,--,--,0,0,746,,
30-Jun-2010,South Eastern,Gastroenterology,Acute Services,1,6,0,0,--,,,--,--,--,0,0,7,,
30-Jun-2010,South Eastern,Haematology (Clinical),Acute Services,5,0,0,0,--,,,--,--,--,0,0,5,,
30-Jun-2010,South Eastern,Cardiology,Acute Services,86,58,18,3,--,,,--,--,--,0,0,165,,
30-Jun-2010,South Eastern,Dermatology,Acute Services,73,79,37,1,--,,,--,--,--,0,0,190,,
30-Jun-2010,South Eastern,Nephrology,Acute Services,2,0,0,0,--,,,--,--,--,0,0,2,,
30-Jun-2010,South Eastern,Neurology,Acute Services,2,1,0,0,--,,,--,--,--,0,0,3,,
30-Jun-2010,South Eastern,Paediatrics,Acute Services,6,0,0,0,--,,,--,--,--,0,0,6,,
30-Jun-2010,South Eastern,Gynaecology,Acute Services,332,210,35,6,--,,,--,--,--,1,0,584,,
30-Jun-2010,South Eastern,GP Other,Acute Services,6,3,0,0,--,,,--,--,--,0,0,9,,
30-Jun-2010,South Eastern,Clinical Oncology,Acute Services,5,0,0,0,--,,,--,--,--,0,0,5,,
30-Jun-2010,South Eastern,Geriatric Medicine,Elderly Care,28,0,0,0,--,,,--,--,--,0,0,28,,
30-Jun-2010,Southern,General Surgery,Acute Services,857,720,468,97,--,,,--,--,--,0,0,"2,142",,
30-Jun-2010,Southern,Urology,Acute Services,165,159,141,62,--,,,--,--,--,49,4,580,,
30-Jun-2010,Southern,T & O Surgery,Acute Services,102,101,43,4,--,,,--,--,--,0,0,250,,
30-Jun-2010,Southern,ENT,Acute Services,250,239,0,0,--,,,--,--,--,0,0,489,,
30-Jun-2010,Southern,Ophthalmology,Acute Services,86,83,0,0,--,,,--,--,--,0,0,169,,
30-Jun-2010,Southern,Oral Surgery,Acute Services,14,17,0,0,--,,,--,--,--,0,0,31,,
30-Jun-2010,Southern,Pain Management,Acute Services,88,95,0,0,--,,,--,--,--,0,0,183,,
30-Jun-2010,Southern,General Medicine,Acute Services,49,19,18,5,--,,,--,--,--,0,0,91,,
30-Jun-2010,Southern,Gastroenterology,Acute Services,179,148,223,38,--,,,--,--,--,0,0,588,,
30-Jun-2010,Southern,Haematology (Clinical),Acute Services,7,3,0,0,--,,,--,--,--,0,0,10,,
30-Jun-2010,Southern,Cardiology,Acute Services,240,206,80,1,--,,,--,--,--,0,0,527,,
30-Jun-2010,Southern,Dermatology,Acute Services,55,44,0,0,--,,,--,--,--,0,0,99,,
30-Jun-2010,Southern,Thoracic Medicine,Acute Services,51,6,0,0,--,,,--,--,--,0,0,57,,
30-Jun-2010,Southern,Neurology,Acute Services,2,0,0,0,--,,,--,--,--,0,0,2,,
30-Jun-2010,Southern,Rheumatology,Acute Services,180,241,230,2,--,,,--,--,--,0,0,653,,
30-Jun-2010,Southern,Paediatrics,Acute Services,4,1,0,0,--,,,--,--,--,0,0,5,,
30-Jun-2010,Southern,Gynaecology,Acute Services,321,223,0,0,--,,,--,--,--,0,0,544,,
30-Jun-2010,Southern,GP Other,Acute Services,103,20,0,0,--,,,--,--,--,0,0,123,,
30-Jun-2010,Southern,Clinical Oncology,Acute Services,0,1,0,0,--,,,--,--,--,0,0,1,,
30-Jun-2010,Western,General Surgery,Acute Services,727,551,265,36,--,,,--,--,--,43,4,"1,626",,
30-Jun-2010,Western,Urology,Acute Services,210,101,59,21,--,,,--,--,--,14,2,407,,
30-Jun-2010,Western,T & O Surgery,Acute Services,220,258,300,135,--,,,--,--,--,332,35,"1,280",,
30-Jun-2010,Western,ENT,Acute Services,239,219,95,13,--,,,--,--,--,12,0,578,,
30-Jun-2010,Western,Ophthalmology,Acute Services,304,218,47,1,--,,,--,--,--,1,0,571,,
30-Jun-2010,Western,Oral Surgery,Acute Services,208,55,25,0,--,,,--,--,--,0,0,288,,
30-Jun-2010,Western,Pain Management,Acute Services,58,41,23,0,--,,,--,--,--,0,0,122,,
30-Jun-2010,Western,General Medicine,Acute Services,730,673,23,0,--,,,--,--,--,0,0,"1,426",,
30-Jun-2010,Western,Cardiology,Acute Services,69,73,2,0,--,,,--,--,--,0,0,144,,
30-Jun-2010,Western,Paediatrics,Acute Services,5,4,3,0,--,,,--,--,--,0,0,12,,
30-Jun-2010,Western,Gynaecology,Acute Services,257,219,112,13,--,,,--,--,--,0,0,601,,
30-Jun-2010,Western,GP Other,Acute Services,69,5,0,0,--,,,--,--,--,0,0,74,,
30-Sep-2010,Belfast,General Surgery,Acute Services,"1,032",707,427,70,--,,,--,--,--,47,22,"2,305",,
30-Sep-2010,Belfast,Urology,Acute Services,768,559,356,171,--,,,--,--,--,227,37,"2,118",,
30-Sep-2010,Belfast,T & O Surgery,Acute Services,69,35,"1,331",589,--,,,--,--,--,871,201,"3,096",,
30-Sep-2010,Belfast,ENT,Acute Services,382,371,345,101,--,,,--,--,--,29,2,"1,230",,
30-Sep-2010,Belfast,Ophthalmology,Acute Services,908,"1,073",582,67,--,,,--,--,--,50,6,"2,686",,
30-Sep-2010,Belfast,Oral Surgery,Acute Services,63,58,66,16,--,,,--,--,--,8,0,211,,
30-Sep-2010,Belfast,Paediatric Dentistry,Acute Services,29,21,8,1,--,,,--,--,--,0,0,59,,
30-Sep-2010,Belfast,Neurosurgery,Acute Services,59,55,42,3,--,,,--,--,--,8,6,173,,
30-Sep-2010,Belfast,Plastic Surgery,Acute Services,103,82,123,43,--,,,--,--,--,43,20,414,,
30-Sep-2010,Belfast,Cardiac Surgery,Acute Services,131,97,98,20,--,,,--,--,--,1,0,347,,
30-Sep-2010,Belfast,Paediatric Surgery,Acute Services,77,65,84,15,--,,,--,--,--,9,0,250,,
30-Sep-2010,Belfast,Thoracic Surgery,Acute Services,48,16,18,11,--,,,--,--,--,9,0,102,,
30-Sep-2010,Belfast,Pain Management,Acute Services,111,169,223,80,--,,,--,--,--,182,19,784,,
30-Sep-2010,Belfast,General Medicine,Acute Services,363,321,199,132,--,,,--,--,--,55,1,"1,071",,
30-Sep-2010,Belfast,Gastroenterology,Acute Services,533,321,263,10,--,,,--,--,--,0,1,"1,128",,
30-Sep-2010,Belfast,Endocrinology,Acute Services,16,6,0,0,--,,,--,--,--,0,0,22,,
30-Sep-2010,Belfast,Rehabilitation,Acute Services,0,0,0,0,--,,,--,--,--,1,2,3,,
30-Sep-2010,Belfast,Cardiology,Acute Services,308,215,61,26,--,,,--,--,--,23,1,634,,
30-Sep-2010,Belfast,Dermatology,Acute Services,29,9,5,0,--,,,--,--,--,0,0,43,,
30-Sep-2010,Belfast,Thoracic Medicine,Acute Services,2,2,0,0,--,,,--,--,--,0,0,4,,
30-Sep-2010,Belfast,Nephrology,Acute Services,41,17,5,0,--,,,--,--,--,1,0,64,,
30-Sep-2010,Belfast,Neurology,Acute Services,23,23,49,24,--,,,--,--,--,45,5,169,,
30-Sep-2010,Belfast,Rheumatology,Acute Services,0,0,0,0,--,,,--,--,--,5,0,5,,
30-Sep-2010,Belfast,Paediatrics,Acute Services,20,11,4,1,--,,,--,--,--,0,0,36,,
30-Sep-2010,Belfast,Gynaecology,Acute Services,318,238,203,55,--,,,--,--,--,47,9,870,,
30-Sep-2010,Belfast,GP Other,Acute Services,9,0,0,0,--,,,--,--,--,0,0,9,,
30-Sep-2010,Belfast,Radiology,Acute Services,12,2,4,2,--,,,--,--,--,10,2,32,,
30-Sep-2010,Belfast,Mental Illness,Mental Health,0,1,0,0,--,,,--,--,--,0,0,1,,
30-Sep-2010,Belfast,Child & Adolescent Psychiatry,Mental Health,4,0,0,0,--,,,--,--,--,0,0,4,,
30-Sep-2010,Belfast,Forensic Psychiatry,Mental Health,1,0,0,0,--,,,--,--,--,0,0,1,,
30-Sep-2010,Northern,General Surgery,Acute Services,893,557,444,167,--,,,--,--,--,262,70,"2,393",,
30-Sep-2010,Northern,Urology,Acute Services,241,113,108,22,--,,,--,--,--,52,0,536,,
30-Sep-2010,Northern,ENT,Acute Services,225,119,63,22,--,,,--,--,--,4,0,433,,
30-Sep-2010,Northern,Ophthalmology,Acute Services,2,11,2,10,--,,,--,--,--,1,0,26,,
30-Sep-2010,Northern,Oral Surgery,Acute Services,5,7,6,0,--,,,--,--,--,0,0,18,,
30-Sep-2010,Northern,Pain Management,Acute Services,63,46,31,18,--,,,--,--,--,2,0,160,,
30-Sep-2010,Northern,General Medicine,Acute Services,169,101,94,37,--,,,--,--,--,86,31,518,,
30-Sep-2010,Northern,Gastroenterology,Acute Services,435,358,376,161,--,,,--,--,--,208,16,"1,554",,
30-Sep-2010,Northern,Cardiology,Acute Services,32,1,1,0,--,,,--,--,--,0,0,34,,
30-Sep-2010,Northern,Dermatology,Acute Services,33,25,13,2,--,,,--,--,--,0,0,73,,
30-Sep-2010,Northern,Gynaecology,Acute Services,288,235,199,61,--,,,--,--,--,48,1,832,,
30-Sep-2010,Northern,GP Other,Acute Services,40,1,0,0,--,,,--,--,--,0,0,41,,
30-Sep-2010,Northern,Other,Acute Services,82,26,0,0,--,,,--,--,--,0,0,108,,
30-Sep-2010,South Eastern,General Surgery,Acute Services,693,279,109,13,--,,,--,--,--,14,1,"1,109",,
30-Sep-2010,South Eastern,Urology,Acute Services,260,61,1,0,--,,,--,--,--,0,0,322,,
30-Sep-2010,South Eastern,T & O Surgery,Acute Services,22,6,2,0,--,,,--,--,--,0,0,30,,
30-Sep-2010,South Eastern,ENT,Acute Services,77,72,3,0,--,,,--,--,--,0,0,152,,
30-Sep-2010,South Eastern,Ophthalmology,Acute Services,53,26,22,0,--,,,--,--,--,0,0,101,,
30-Sep-2010,South Eastern,Oral Surgery,Acute Services,44,23,6,0,--,,,--,--,--,0,0,73,,
30-Sep-2010,South Eastern,Neurosurgery,Acute Services,2,3,0,0,--,,,--,--,--,0,0,5,,
30-Sep-2010,South Eastern,Plastic Surgery,Acute Services,215,114,164,75,--,,,--,--,--,354,187,"1,109",,
30-Sep-2010,South Eastern,Paediatric Surgery,Acute Services,41,27,0,0,--,,,--,--,--,0,0,68,,
30-Sep-2010,South Eastern,Pain Management,Acute Services,48,18,1,0,--,,,--,--,--,0,0,67,,
30-Sep-2010,South Eastern,General Medicine,Acute Services,381,249,137,31,--,,,--,--,--,6,1,805,,
30-Sep-2010,South Eastern,Gastroenterology,Acute Services,25,15,0,0,--,,,--,--,--,0,0,40,,
30-Sep-2010,South Eastern,Haematology (Clinical),Acute Services,3,0,0,0,--,,,--,--,--,0,0,3,,
30-Sep-2010,South Eastern,Cardiology,Acute Services,70,43,31,8,--,,,--,--,--,9,0,161,,
30-Sep-2010,South Eastern,Dermatology,Acute Services,70,45,65,4,--,,,--,--,--,0,0,184,,
30-Sep-2010,South Eastern,Nephrology,Acute Services,3,0,0,0,--,,,--,--,--,0,0,3,,
30-Sep-2010,South Eastern,Paediatrics,Acute Services,23,0,0,0,--,,,--,--,--,0,0,23,,
30-Sep-2010,South Eastern,Gynaecology,Acute Services,281,216,45,15,--,,,--,--,--,12,1,570,,
30-Sep-2010,South Eastern,GP Other,Acute Services,16,1,0,0,--,,,--,--,--,0,0,17,,
30-Sep-2010,South Eastern,Clinical Oncology,Acute Services,6,0,0,0,--,,,--,--,--,0,0,6,,
30-Sep-2010,South Eastern,Geriatric Medicine,Elderly Care,24,1,1,0,--,,,--,--,--,0,0,26,,
30-Sep-2010,Southern,General Surgery,Acute Services,812,451,550,266,--,,,--,--,--,331,31,"2,441",,
30-Sep-2010,Southern,Urology,Acute Services,178,187,123,68,--,,,--,--,--,111,52,719,,
30-Sep-2010,Southern,T & O Surgery,Acute Services,141,119,69,13,--,,,--,--,--,3,0,345,,
30-Sep-2010,Southern,ENT,Acute Services,278,229,6,0,--,,,--,--,--,0,0,513,,
30-Sep-2010,Southern,Ophthalmology,Acute Services,86,79,11,4,--,,,--,--,--,0,0,180,,
30-Sep-2010,Southern,Oral Surgery,Acute Services,16,15,0,0,--,,,--,--,--,0,0,31,,
30-Sep-2010,Southern,Paediatric Dentistry,Acute Services,8,4,1,0,--,,,--,--,--,0,0,13,,
30-Sep-2010,Southern,Pain Management,Acute Services,84,75,101,9,--,,,--,--,--,0,0,269,,
30-Sep-2010,Southern,General Medicine,Acute Services,3,2,3,0,--,,,--,--,--,0,0,8,,
30-Sep-2010,Southern,Gastroenterology,Acute Services,275,155,141,104,--,,,--,--,--,161,0,836,,
30-Sep-2010,Southern,Haematology (Clinical),Acute Services,2,4,0,0,--,,,--,--,--,0,0,6,,
30-Sep-2010,Southern,Cardiology,Acute Services,207,238,137,49,--,,,--,--,--,42,0,673,,
30-Sep-2010,Southern,Dermatology,Acute Services,119,24,3,0,--,,,--,--,--,0,0,146,,
30-Sep-2010,Southern,Thoracic Medicine,Acute Services,42,0,7,2,--,,,--,--,--,0,1,52,,
30-Sep-2010,Southern,Neurology,Acute Services,4,0,0,0,--,,,--,--,--,0,0,4,,
30-Sep-2010,Southern,Rheumatology,Acute Services,133,202,240,102,--,,,--,--,--,72,0,749,,
30-Sep-2010,Southern,Paediatrics,Acute Services,3,1,2,0,--,,,--,--,--,0,0,6,,
30-Sep-2010,Southern,Gynaecology,Acute Services,265,233,29,0,--,,,--,--,--,0,0,527,,
30-Sep-2010,Southern,GP Other,Acute Services,83,14,1,0,--,,,--,--,--,0,0,98,,
30-Sep-2010,Western,General Surgery,Acute Services,666,361,254,88,--,,,--,--,--,111,42,"1,522",,
30-Sep-2010,Western,Urology,Acute Services,234,136,111,31,--,,,--,--,--,54,20,586,,
30-Sep-2010,Western,T & O Surgery,Acute Services,256,221,240,127,--,,,--,--,--,280,301,"1,425",,
30-Sep-2010,Western,ENT,Acute Services,236,149,104,25,--,,,--,--,--,26,16,556,,
30-Sep-2010,Western,Ophthalmology,Acute Services,302,197,45,8,--,,,--,--,--,0,0,552,,
30-Sep-2010,Western,Oral Surgery,Acute Services,266,50,20,9,--,,,--,--,--,5,0,350,,
30-Sep-2010,Western,Pain Management,Acute Services,63,49,35,6,--,,,--,--,--,1,0,154,,
30-Sep-2010,Western,General Medicine,Acute Services,740,640,428,95,--,,,--,--,--,8,0,"1,911",,
30-Sep-2010,Western,Cardiology,Acute Services,56,39,4,0,--,,,--,--,--,0,0,99,,
30-Sep-2010,Western,Paediatrics,Acute Services,2,1,3,3,--,,,--,--,--,1,0,10,,
30-Sep-2010,Western,Gynaecology,Acute Services,223,200,128,26,--,,,--,--,--,14,4,595,,
30-Sep-2010,Western,GP Other,Acute Services,66,5,0,0,--,,,--,--,--,0,0,71,,
31-Dec-2010,Belfast,General Surgery,Acute Services,859,893,483,153,--,,,--,--,--,152,16,"2,556",,
31-Dec-2010,Belfast,Urology,Acute Services,745,676,462,154,--,,,--,--,--,191,98,"2,326",,
31-Dec-2010,Belfast,T & O Surgery,Acute Services,"1,270","1,720","1,010",260,--,,,--,--,--,363,138,"4,761",,
31-Dec-2010,Belfast,ENT,Acute Services,437,467,267,90,--,,,--,--,--,89,5,"1,355",,
31-Dec-2010,Belfast,Ophthalmology,Acute Services,821,"1,176",457,75,--,,,--,--,--,37,7,"2,573",,
31-Dec-2010,Belfast,Oral Surgery,Acute Services,47,81,48,23,--,,,--,--,--,6,1,206,,
31-Dec-2010,Belfast,Paediatric Dentistry,Acute Services,36,22,14,6,--,,,--,--,--,0,0,78,,
31-Dec-2010,Belfast,Neurosurgery,Acute Services,68,54,36,9,--,,,--,--,--,16,12,195,,
31-Dec-2010,Belfast,Plastic Surgery,Acute Services,72,144,87,28,--,,,--,--,--,78,77,486,,
31-Dec-2010,Belfast,Cardiac Surgery,Acute Services,109,122,122,43,--,,,--,--,--,7,0,403,,
31-Dec-2010,Belfast,Paediatric Surgery,Acute Services,55,83,60,22,--,,,--,--,--,36,1,257,,
31-Dec-2010,Belfast,Thoracic Surgery,Acute Services,33,32,14,9,--,,,--,--,--,11,8,107,,
31-Dec-2010,Belfast,Pain Management,Acute Services,129,192,229,94,--,,,--,--,--,87,50,781,,
31-Dec-2010,Belfast,General Medicine,Acute Services,389,398,278,132,--,,,--,--,--,62,1,"1,260",,
31-Dec-2010,Belfast,Gastroenterology,Acute Services,573,463,146,104,--,,,--,--,--,50,0,"1,336",,
31-Dec-2010,Belfast,Endocrinology,Acute Services,21,5,2,0,--,,,--,--,--,0,0,28,,
31-Dec-2010,Belfast,Cardiology,Acute Services,266,233,125,38,--,,,--,--,--,27,13,702,,
31-Dec-2010,Belfast,Dermatology,Acute Services,31,22,18,1,--,,,--,--,--,0,0,72,,
31-Dec-2010,Belfast,Thoracic Medicine,Acute Services,2,0,0,0,--,,,--,--,--,0,0,2,,
31-Dec-2010,Belfast,Nephrology,Acute Services,55,34,0,0,--,,,--,--,--,1,0,90,,
31-Dec-2010,Belfast,Neurology,Acute Services,26,28,22,10,--,,,--,--,--,41,51,178,,
31-Dec-2010,Belfast,Rheumatology,Acute Services,48,2,0,0,--,,,--,--,--,1,3,54,,
31-Dec-2010,Belfast,Paediatrics,Acute Services,9,21,17,1,--,,,--,--,--,0,0,48,,
31-Dec-2010,Belfast,Gynaecology,Acute Services,315,382,203,62,--,,,--,--,--,53,13,"1,028",,
31-Dec-2010,Belfast,Radiology,Acute Services,12,8,0,0,--,,,--,--,--,1,2,23,,
31-Dec-2010,Belfast,Mental Illness,Mental Health,0,2,0,0,--,,,--,--,--,0,0,2,,
31-Dec-2010,Belfast,Child & Adolescent Psychiatry,Mental Health,3,2,0,0,--,,,--,--,--,0,0,5,,
31-Dec-2010,Northern,General Surgery,Acute Services,"1,068",736,292,124,--,,,--,--,--,267,205,"2,692",,
31-Dec-2010,Northern,Urology,Acute Services,234,209,84,24,--,,,--,--,--,53,23,627,,
31-Dec-2010,Northern,ENT,Acute Services,184,164,30,11,--,,,--,--,--,24,2,415,,
31-Dec-2010,Northern,Ophthalmology,Acute Services,8,9,3,0,--,,,--,--,--,0,0,20,,
31-Dec-2010,Northern,Oral Surgery,Acute Services,3,13,1,0,--,,,--,--,--,0,0,17,,
31-Dec-2010,Northern,Pain Management,Acute Services,55,56,21,15,--,,,--,--,--,7,2,156,,
31-Dec-2010,Northern,General Medicine,Acute Services,111,132,85,39,--,,,--,--,--,59,61,487,,
31-Dec-2010,Northern,Gastroenterology,Acute Services,490,344,254,135,--,,,--,--,--,265,172,"1,660",,
31-Dec-2010,Northern,Cardiology,Acute Services,1,0,0,0,--,,,--,--,--,0,0,1,,
31-Dec-2010,Northern,Dermatology,Acute Services,28,29,19,12,--,,,--,--,--,5,0,93,,
31-Dec-2010,Northern,Gynaecology,Acute Services,298,294,111,47,--,,,--,--,--,44,21,815,,
31-Dec-2010,Northern,GP Other,Acute Services,96,18,1,2,--,,,--,--,--,0,0,117,,
