Quarter Ending ,HSC Trust,Specialty,Programme of Care,0 - 6 weeks,> 6 - 9 weeks,> 9 - 13 weeks,> 9 - 12 weeks,> 12-15 weeks,> 15-18 weeks,>18-26 weeks,>26-39 weeks,>39-52 weeks,>52-65 weeks,>65-78 weeks,>78-91 weeks,>91-104 weeks,>104 weeks,>18 weeks,>18-52 weeks,> 13 - 26 weeks,>52 weeks,> 26 weeks,Total Waiting 
31-Dec-2009,Northern,Cardiology,Acute Services,416,188,90,--,--,--,--,--,--,--,--,--,--,--,--,--,24,--,0,718
31-Dec-2009,Northern,Dermatology,Acute Services,828,369,481,--,--,--,--,--,--,--,--,--,--,--,--,--,428,--,0,"2,106"
31-Dec-2009,Northern,Nephrology,Acute Services,55,20,20,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,95
31-Dec-2009,Northern,Neurology,Acute Services,215,106,86,--,--,--,--,--,--,--,--,--,--,--,--,--,19,--,0,426
31-Dec-2009,Northern,Rheumatology,Acute Services,299,133,66,--,--,--,--,--,--,--,--,--,--,--,--,--,36,--,0,534
31-Dec-2009,Northern,Paediatrics,Acute Services,337,51,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,388
31-Dec-2009,Northern,Geriatric Medicine,Elderly Care,26,3,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,29
31-Dec-2009,Northern,Gynaecology,Acute Services,959,420,299,--,--,--,--,--,--,--,--,--,--,--,--,--,48,--,1,"1,727"
31-Dec-2009,Northern,Learning Disability,Learning Disability,1,1,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,2
31-Dec-2009,Northern,Chemical Pathology,Acute Services,18,4,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,22
31-Dec-2009,Northern,Haematology,Acute Services,6,1,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,7
31-Dec-2009,Northern,Joint Consultant Clinics,Acute Services,15,6,4,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,25
31-Dec-2009,South Eastern,General Surgery,Acute Services,990,228,12,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"1,230"
31-Dec-2009,South Eastern,Urology,Acute Services,275,91,138,--,--,--,--,--,--,--,--,--,--,--,--,--,76,--,0,580
31-Dec-2009,South Eastern,T & O Surgery,Acute Services,128,4,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,132
31-Dec-2009,South Eastern,ENT,Acute Services,"1,055",310,15,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"1,380"
31-Dec-2009,South Eastern,Ophthalmology,Acute Services,626,318,272,--,--,--,--,--,--,--,--,--,--,--,--,--,9,--,0,"1,225"
31-Dec-2009,South Eastern,Oral Surgery,Acute Services,236,93,90,--,--,--,--,--,--,--,--,--,--,--,--,--,40,--,0,459
31-Dec-2009,South Eastern,Plastic Surgery,Acute Services,360,147,204,--,--,--,--,--,--,--,--,--,--,--,--,--,153,--,0,864
31-Dec-2009,South Eastern,Paediatric Surgery,Acute Services,65,0,1,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,66
31-Dec-2009,South Eastern,Pain Management,Acute Services,170,51,10,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,231
31-Dec-2009,South Eastern,General Medicine,Acute Services,817,284,263,--,--,--,--,--,--,--,--,--,--,--,--,--,149,--,2,"1,515"
31-Dec-2009,South Eastern,Gastroenterology,Acute Services,56,7,11,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,74
31-Dec-2009,South Eastern,Endocrinology,Acute Services,4,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,4
31-Dec-2009,South Eastern,Haematology (Clinical),Acute Services,56,20,1,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,77
31-Dec-2009,South Eastern,Cardiology,Acute Services,351,75,6,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,432
31-Dec-2009,South Eastern,Dermatology,Acute Services,950,445,649,--,--,--,--,--,--,--,--,--,--,--,--,--,653,--,0,"2,697"
31-Dec-2009,South Eastern,Thoracic Medicine,Acute Services,173,61,73,--,--,--,--,--,--,--,--,--,--,--,--,--,50,--,0,357
31-Dec-2009,South Eastern,Nephrology,Acute Services,17,1,0,--,--,--,--,--,--,--,--,--,--,--,--,--,3,--,0,21
31-Dec-2009,South Eastern,Neurology,Acute Services,118,58,78,--,--,--,--,--,--,--,--,--,--,--,--,--,64,--,0,318
31-Dec-2009,South Eastern,Rheumatology,Acute Services,106,44,41,--,--,--,--,--,--,--,--,--,--,--,--,--,4,--,0,195
31-Dec-2009,South Eastern,Paediatrics,Acute Services,267,50,1,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,318
31-Dec-2009,South Eastern,Geriatric Medicine,Elderly Care,184,24,2,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,210
31-Dec-2009,South Eastern,Gynaecology,Acute Services,893,226,7,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"1,126"
31-Dec-2009,South Eastern,Old Age Psychiatry,Elderly Care,117,8,2,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,0,128
31-Dec-2009,Southern,General Surgery,Acute Services,"1,588",284,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"1,872"
31-Dec-2009,Southern,Urology,Acute Services,231,112,13,--,--,--,--,--,--,--,--,--,--,--,--,--,3,--,0,359
31-Dec-2009,Southern,T & O Surgery,Acute Services,325,103,34,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,462
31-Dec-2009,Southern,ENT,Acute Services,"1,073",99,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"1,172"
31-Dec-2009,Southern,Ophthalmology,Acute Services,730,301,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"1,031"
31-Dec-2009,Southern,Oral Surgery,Acute Services,132,62,13,--,--,--,--,--,--,--,--,--,--,--,--,--,26,--,0,233
31-Dec-2009,Southern,Paediatric Dentistry,Acute Services,3,2,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,5
31-Dec-2009,Southern,Orthodontics,Acute Services,61,15,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,76
31-Dec-2009,Southern,Thoracic Surgery,Acute Services,2,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,0,3
31-Dec-2009,Southern,Accident & Emergency,Acute Services,2,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,2
31-Dec-2009,Southern,Anaesthetics,Acute Services,3,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,3
31-Dec-2009,Southern,Pain Management,Acute Services,115,64,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,179
31-Dec-2009,Southern,General Medicine,Acute Services,384,174,1,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,559
31-Dec-2009,Southern,Gastroenterology,Acute Services,20,12,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,32
31-Dec-2009,Southern,Endocrinology,Acute Services,68,30,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,98
31-Dec-2009,Southern,Haematology (Clinical),Acute Services,61,15,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,76
31-Dec-2009,Southern,Palliative Medicine,Acute Services,3,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,3
31-Dec-2009,Southern,Cardiology,Acute Services,382,174,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,556
31-Dec-2009,Southern,Dermatology,Acute Services,444,56,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,500
31-Dec-2009,Southern,Thoracic Medicine,Acute Services,151,54,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,205
31-Dec-2009,Southern,Genito-Urinary Medicine,Acute Services,111,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,111
31-Dec-2009,Southern,Nephrology,Acute Services,18,2,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,20
31-Dec-2009,Southern,Neurology,Acute Services,236,119,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,355
31-Dec-2009,Southern,Rheumatology,Acute Services,267,75,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,342
31-Dec-2009,Southern,Paediatrics,Acute Services,442,150,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,592
31-Dec-2009,Southern,Geriatric Medicine,Elderly Care,68,3,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,71
31-Dec-2009,Southern,Gynaecology,Acute Services,941,345,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"1,286"
31-Dec-2009,Southern,Learning Disability,Learning Disability,8,3,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,11
31-Dec-2009,Southern,Chemical Pathology,Acute Services,13,4,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,17
31-Dec-2009,Western,General Surgery,Acute Services,"1,082",396,205,--,--,--,--,--,--,--,--,--,--,--,--,--,113,--,12,"1,808"
31-Dec-2009,Western,Urology,Acute Services,242,71,79,--,--,--,--,--,--,--,--,--,--,--,--,--,58,--,21,471
31-Dec-2009,Western,T & O Surgery,Acute Services,967,301,175,--,--,--,--,--,--,--,--,--,--,--,--,--,118,--,0,"1,561"
31-Dec-2009,Western,ENT,Acute Services,863,148,31,--,--,--,--,--,--,--,--,--,--,--,--,--,3,--,0,"1,045"
31-Dec-2009,Western,Ophthalmology,Acute Services,"1,052",433,381,--,--,--,--,--,--,--,--,--,--,--,--,--,251,--,0,"2,117"
31-Dec-2009,Western,Oral Surgery,Acute Services,472,166,223,--,--,--,--,--,--,--,--,--,--,--,--,--,107,--,0,968
31-Dec-2009,Western,Orthodontics,Acute Services,44,16,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,60
31-Dec-2009,Western,Pain Management,Acute Services,116,39,18,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,173
31-Dec-2009,Western,General Medicine,Acute Services,646,236,180,--,--,--,--,--,--,--,--,--,--,--,--,--,184,--,3,"1,249"
31-Dec-2009,Western,Haematology (Clinical),Acute Services,32,1,3,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,36
31-Dec-2009,Western,Palliative Medicine,Acute Services,10,0,1,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,11
31-Dec-2009,Western,Cardiology,Acute Services,231,69,37,--,--,--,--,--,--,--,--,--,--,--,--,--,10,--,0,347
31-Dec-2009,Western,Dermatology,Acute Services,496,103,5,--,--,--,--,--,--,--,--,--,--,--,--,--,2,--,0,606
31-Dec-2009,Western,Genito-Urinary Medicine,Acute Services,26,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,26
31-Dec-2009,Western,Nephrology,Acute Services,41,8,2,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,0,52
31-Dec-2009,Western,Neurology,Acute Services,306,120,106,--,--,--,--,--,--,--,--,--,--,--,--,--,172,--,1,705
31-Dec-2009,Western,Rheumatology,Acute Services,216,58,83,--,--,--,--,--,--,--,--,--,--,--,--,--,64,--,3,424
31-Dec-2009,Western,Paediatrics,Acute Services,275,108,70,--,--,--,--,--,--,--,--,--,--,--,--,--,23,--,0,476
31-Dec-2009,Western,Geriatric Medicine,Elderly Care,57,6,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,63
31-Dec-2009,Western,Gynaecology,Acute Services,693,207,244,--,--,--,--,--,--,--,--,--,--,--,--,--,242,--,0,"1,386"
31-Dec-2009,Western,Learning Disability,Learning Disability,9,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,9
31-Dec-2009,Western,Chemical Pathology,Acute Services,24,14,2,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,40
31-Mar-2010,Belfast,General Surgery,Acute Services,"2,076",396,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"2,472"
31-Mar-2010,Belfast,Urology,Acute Services,693,305,182,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"1,180"
31-Mar-2010,Belfast,T & O Surgery,Acute Services,"3,280","1,507","1,335",--,--,--,--,--,--,--,--,--,--,--,--,--,"2,566",--,0,"8,688"
31-Mar-2010,Belfast,ENT,Acute Services,"1,788",455,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"2,243"
31-Mar-2010,Belfast,Ophthalmology,Acute Services,"2,802",950,852,--,--,--,--,--,--,--,--,--,--,--,--,--,613,--,1,"5,218"
31-Mar-2010,Belfast,Oral Surgery,Acute Services,403,113,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,516
31-Mar-2010,Belfast,Restorative Dentistry,Acute Services,586,158,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,744
31-Mar-2010,Belfast,Paediatric Dentistry,Acute Services,75,33,48,--,--,--,--,--,--,--,--,--,--,--,--,--,60,--,0,216
31-Mar-2010,Belfast,Orthodontics,Acute Services,57,19,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,76
31-Mar-2010,Belfast,Neurosurgery,Acute Services,225,111,101,--,--,--,--,--,--,--,--,--,--,--,--,--,134,--,0,571
31-Mar-2010,Belfast,Plastic Surgery,Acute Services,104,21,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,125
31-Mar-2010,Belfast,Cardiac Surgery,Acute Services,43,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,43
31-Mar-2010,Belfast,Paediatric Surgery,Acute Services,289,32,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,321
31-Mar-2010,Belfast,Thoracic Surgery,Acute Services,51,1,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,52
31-Mar-2010,Belfast,Accident & Emergency,Acute Services,1,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,1
31-Mar-2010,Belfast,Pain Management,Acute Services,363,136,135,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,634
31-Mar-2010,Belfast,General Medicine,Acute Services,735,181,62,--,--,--,--,--,--,--,--,--,--,--,--,--,150,--,0,"1,128"
31-Mar-2010,Belfast,Gastroenterology,Acute Services,651,214,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,865
31-Mar-2010,Belfast,Endocrinology,Acute Services,290,96,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,386
31-Mar-2010,Belfast,Haematology (Clinical),Acute Services,151,3,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,154
31-Mar-2010,Belfast,Clinical Genetics,Acute Services,209,94,71,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,0,375
31-Mar-2010,Belfast,Rehabilitation,Acute Services,5,1,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,6
31-Mar-2010,Belfast,Palliative Medicine,Acute Services,8,2,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,10
31-Mar-2010,Belfast,Cardiology,Acute Services,893,171,32,--,--,--,--,--,--,--,--,--,--,--,--,--,22,--,0,"1,118"
31-Mar-2010,Belfast,Dermatology,Acute Services,"1,336",428,192,--,--,--,--,--,--,--,--,--,--,--,--,--,201,--,0,"2,157"
31-Mar-2010,Belfast,Thoracic Medicine,Acute Services,341,52,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,393
31-Mar-2010,Belfast,Nephrology,Acute Services,155,26,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,181
31-Mar-2010,Belfast,Medical Oncology,Acute Services,25,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,25
31-Mar-2010,Belfast,Neurology,Acute Services,820,342,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"1,162"
31-Mar-2010,Belfast,Rheumatology,Acute Services,592,162,11,--,--,--,--,--,--,--,--,--,--,--,--,--,24,--,0,789
31-Mar-2010,Belfast,Paediatrics,Acute Services,922,258,48,--,--,--,--,--,--,--,--,--,--,--,--,--,140,--,55,"1,423"
31-Mar-2010,Belfast,Paediatric Neurology,Acute Services,56,13,21,--,--,--,--,--,--,--,--,--,--,--,--,--,21,--,0,111
31-Mar-2010,Belfast,Geriatric Medicine,Elderly Care,451,43,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,494
31-Mar-2010,Belfast,Dental Medicine Specialties,Acute Services,359,118,101,--,--,--,--,--,--,--,--,--,--,--,--,--,72,--,0,650
31-Mar-2010,Belfast,Gynaecology,Acute Services,"1,590",478,373,--,--,--,--,--,--,--,--,--,--,--,--,--,344,--,0,"2,785"
31-Mar-2010,Belfast,Learning Disability,Learning Disability,28,3,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,31
31-Mar-2010,Belfast,Old Age Psychiatry,Elderly Care,120,26,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,146
31-Mar-2010,Belfast,Clinical Oncology,Acute Services,134,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,134
31-Mar-2010,Belfast,Haematology,Acute Services,8,5,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,13
31-Mar-2010,Northern,General Surgery,Acute Services,"1,829",390,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"2,219"
31-Mar-2010,Northern,Urology,Acute Services,226,45,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,271
31-Mar-2010,Northern,ENT,Acute Services,"1,332",350,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"1,682"
31-Mar-2010,Northern,Oral Surgery,Acute Services,119,29,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,148
31-Mar-2010,Northern,Orthodontics,Acute Services,35,21,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,56
31-Mar-2010,Northern,Anaesthetics,Acute Services,1,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,1
31-Mar-2010,Northern,Pain Management,Acute Services,216,100,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,316
31-Mar-2010,Northern,General Medicine,Acute Services,760,157,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,917
31-Mar-2010,Northern,Gastroenterology,Acute Services,379,66,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,445
31-Mar-2010,Northern,Endocrinology,Acute Services,60,11,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,71
31-Mar-2010,Northern,Haematology (Clinical),Acute Services,38,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,38
31-Mar-2010,Northern,Cardiology,Acute Services,495,159,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,654
31-Mar-2010,Northern,Dermatology,Acute Services,"1,050",329,189,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,0,"1,569"
31-Mar-2010,Northern,Nephrology,Acute Services,52,23,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,75
31-Mar-2010,Northern,Neurology,Acute Services,263,74,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,337
31-Mar-2010,Northern,Rheumatology,Acute Services,389,29,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,418
31-Mar-2010,Northern,Paediatrics,Acute Services,434,36,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,470
31-Mar-2010,Northern,Geriatric Medicine,Elderly Care,26,1,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,27
31-Mar-2010,Northern,Gynaecology,Acute Services,"1,276",321,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"1,597"
31-Mar-2010,Northern,Chemical Pathology,Acute Services,32,3,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,35
31-Mar-2010,Northern,Haematology,Acute Services,7,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,7
31-Mar-2010,Northern,Joint Consultant Clinics,Acute Services,16,6,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,22
31-Mar-2010,South Eastern,General Surgery,Acute Services,"1,382",248,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"1,630"
31-Mar-2010,South Eastern,Urology,Acute Services,290,84,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,374
31-Mar-2010,South Eastern,T & O Surgery,Acute Services,161,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,161
31-Mar-2010,South Eastern,ENT,Acute Services,"1,486",464,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"1,950"
31-Mar-2010,South Eastern,Ophthalmology,Acute Services,833,280,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"1,113"
31-Mar-2010,South Eastern,Oral Surgery,Acute Services,283,44,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,327
31-Mar-2010,South Eastern,Restorative Dentistry,Acute Services,1,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,1
31-Mar-2010,South Eastern,Plastic Surgery,Acute Services,656,156,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,812
31-Mar-2010,South Eastern,Paediatric Surgery,Acute Services,78,1,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,79
31-Mar-2010,South Eastern,Pain Management,Acute Services,197,73,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,270
31-Mar-2010,South Eastern,General Medicine,Acute Services,"1,061",170,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"1,231"
31-Mar-2010,South Eastern,Gastroenterology,Acute Services,45,6,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,51
31-Mar-2010,South Eastern,Endocrinology,Acute Services,18,1,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,19
31-Mar-2010,South Eastern,Haematology (Clinical),Acute Services,59,6,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,65
31-Mar-2010,South Eastern,Palliative Medicine,Acute Services,5,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,5
31-Mar-2010,South Eastern,Cardiology,Acute Services,358,98,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,456
31-Mar-2010,South Eastern,Dermatology,Acute Services,"1,246",454,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"1,700"
31-Mar-2010,South Eastern,Thoracic Medicine,Acute Services,213,78,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,291
31-Mar-2010,South Eastern,Nephrology,Acute Services,20,1,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,21
31-Mar-2010,South Eastern,Neurology,Acute Services,153,50,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,203
31-Mar-2010,South Eastern,Rheumatology,Acute Services,129,42,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,171
31-Mar-2010,South Eastern,Paediatrics,Acute Services,406,110,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,516
31-Mar-2010,South Eastern,Geriatric Medicine,Elderly Care,153,20,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,173
31-Mar-2010,South Eastern,Gynaecology,Acute Services,"1,152",301,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"1,453"
31-Mar-2010,South Eastern,Old Age Psychiatry,Elderly Care,136,12,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,148
31-Mar-2010,Southern,General Surgery,Acute Services,"1,840",451,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"2,291"
31-Mar-2010,Southern,Urology,Acute Services,175,75,82,--,--,--,--,--,--,--,--,--,--,--,--,--,35,--,0,367
31-Mar-2010,Southern,T & O Surgery,Acute Services,278,128,101,--,--,--,--,--,--,--,--,--,--,--,--,--,22,--,0,529
31-Mar-2010,Southern,ENT,Acute Services,"1,427",405,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"1,832"
31-Mar-2010,Southern,Ophthalmology,Acute Services,835,299,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"1,134"
31-Mar-2010,Southern,Oral Surgery,Acute Services,181,55,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,236
31-Mar-2010,Southern,Paediatric Dentistry,Acute Services,7,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,7
31-Mar-2010,Southern,Orthodontics,Acute Services,61,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,61
31-Mar-2010,Southern,Thoracic Surgery,Acute Services,2,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,2
31-Mar-2010,Southern,Pain Management,Acute Services,155,44,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,199
31-Mar-2010,Southern,General Medicine,Acute Services,430,130,1,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,561
31-Mar-2010,Southern,Gastroenterology,Acute Services,21,3,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,24
31-Mar-2010,Southern,Endocrinology,Acute Services,94,28,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,122
31-Mar-2010,Southern,Haematology (Clinical),Acute Services,49,12,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,61
31-Mar-2010,Southern,Palliative Medicine,Acute Services,7,2,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,9
31-Mar-2010,Southern,Cardiology,Acute Services,525,178,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,703
31-Mar-2010,Southern,Dermatology,Acute Services,669,17,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,686
31-Mar-2010,Southern,Thoracic Medicine,Acute Services,151,41,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,192
31-Mar-2010,Southern,Genito-Urinary Medicine,Acute Services,31,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,31
31-Mar-2010,Southern,Nephrology,Acute Services,7,1,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,8
31-Mar-2010,Southern,Neurology,Acute Services,262,68,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,330
31-Mar-2010,Southern,Rheumatology,Acute Services,289,67,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,356
31-Mar-2010,Southern,Paediatrics,Acute Services,559,133,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,692
31-Mar-2010,Southern,Geriatric Medicine,Elderly Care,39,3,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,42
31-Mar-2010,Southern,Gynaecology,Acute Services,"1,099",313,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"1,412"
31-Mar-2010,Southern,Learning Disability,Learning Disability,8,3,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,11
31-Mar-2010,Southern,Chemical Pathology,Acute Services,21,7,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,28
31-Mar-2010,Western,General Surgery,Acute Services,"1,516",397,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,"1,913"
31-Mar-2010,Western,Urology,Acute Services,283,61,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,344
